Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Cheetah.WebApi.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 8.0.22,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 8.0.22  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.0"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Cheetah.WebApi.csproj,,,Microsoft.AspNetCore.Mvc.Abstractions 2.3.0,,,,,"Microsoft.AspNetCore.Mvc.Abstractions, 2.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Cheetah.WebApi.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.22.1,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.22.1  Recommendation:  No supported version found"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Cheetah.WebApi.csproj,,,FluentValidation.AspNetCore 11.3.1,,,,,"FluentValidation.AspNetCore, 11.3.1  Recommendation:  Should be replaced. Remove FluentValidation.AspNetCore, and replace with new package FluentValidation.AspNetCore, 11.3.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Cheetah.WebApi.csproj,,,Microsoft.AspNetCore.Mvc.Versioning 5.1.0,,,,,"Microsoft.AspNetCore.Mvc.Versioning, 5.1.0  Recommendation:  A newer package is available as of August 2022. While this package will continue to receive critical bug fixes, we strongly encourage you to upgrade. See the migration guide at https://github.com/dotnet/aspnet-api-versioning/wiki/Migration for more details. Remove Microsoft.AspNetCore.Mvc.Versioning, and replace with new package Microsoft.AspNetCore.Mvc.Versioning, 5.1.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Cheetah.WebApi.csproj,,,Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer 5.1.0,,,,,"Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer, 5.1.0  Recommendation:  A newer package is available as of August 2022. While this package will continue to receive critical bug fixes, we strongly encourage you to upgrade. See the migration guide at https://github.com/dotnet/aspnet-api-versioning/wiki/Migration for more details. Remove Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer, and replace with new package Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer, 5.1.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Cheetah.WebApi.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Presentation/Controllers/KafkaControllerV2.cs,64,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,syncTokenSource.CancelAfter(TimeSpan.FromSeconds(10));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Presentation/Controllers/KafkaController.cs,48,12,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,var msg = _kafkaConsumer.Consume(TimeSpan.FromMilliseconds(100));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Infrastructure/Installers/ServiceInstaller.cs,60,12,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String,System.Action{System.IServiceProvider,System.Net.Http.HttpClient})",,,,,"services                  .AddHttpClient(                      """",                      (provider, client) =>                      {                          client.DefaultRequestHeaders.Add(""User-Agent"", applicationName);                      }                  )                  .UseHttpClientMetrics();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Infrastructure/Installers/ServiceInstaller.cs,27,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,services.Configure<PrometheusConfig>(                  configuration.GetSection(PrometheusConfig.Position)              );
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Infrastructure/Installers/ServiceInstaller.cs,24,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,services.Configure<KafkaConsumerConfig>(                  configuration.GetSection(KafkaConsumerConfig.Position)              );
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Infrastructure/Installers/ServiceInstaller.cs,21,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,services.Configure<KafkaProducerConfig>(                  configuration.GetSection(KafkaProducerConfig.Position)              );
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Infrastructure/Installers/KafkaInstaller.cs,19,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,var kafkaProducersOptions = configuration.Get<KafkaProducerConfig>();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Infrastructure/Installers/KafkaInstaller.cs,18,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,var kafkaConsumerOptions = configuration.Get<KafkaConsumerConfig>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Cheetah.WebApi/Cheetah.WebApi.csproj,File,Cheetah.WebApi/Program.cs,123,16,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(                      app.Environment.IsDevelopment() ? ""/error-development"" : ""/error""                  );"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Cheetah.WebApi.Test/Cheetah.WebApi.Test.csproj,File,Cheetah.WebApi.Test/Cheetah.WebApi.Test.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
